feature,ks_stat,ks_pvalue,ks_drift,psi,severity,mean_shift_%,median_shift_ms,std_ratio,train_mean,test_mean
HT_median,0.35,0.0285,True,4.1262,🚨 critical,28.7,42.65,1.134,0.11098,0.14286
FT_std,0.25,0.2227,False,3.9213,🚨 critical,24.1,17.33,1.132,0.07654,0.09497
HT_mean,0.3147,0.064,False,2.796,🚨 critical,16.0,18.64,1.537,0.11884,0.13788
bimanual_asymmetry,0.1971,0.4937,False,2.5357,🚨 critical,18.6,9.66,1.005,0.10857,0.1288
HT_std,0.2794,0.1314,False,2.4596,🚨 critical,15.4,6.6,1.249,0.04828,0.0557
FT_mean,0.1441,0.84,False,1.5509,🚨 critical,-1.9,10.2,1.21,0.20964,0.20575
IKI_entropy,0.2029,0.4566,False,1.5088,🚨 critical,-1.8,-18.88,1.353,2.13009,2.09223
HT_cv,0.1824,0.5907,False,1.4891,🚨 critical,-10.1,-39.39,1.065,0.38585,0.34679
FT_median,0.2206,0.3566,False,1.4741,🚨 critical,13.0,34.93,0.916,0.15845,0.179
pause_500ms_ratio,0.2147,0.3878,False,0.2087,⚠️  monitor,25.0,38.72,1.015,0.19096,0.23872
